trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
ec9155fe,pruned_before_deploy,,,0.7670454545454546,,,,,,24,False,,,,,2,32,5,2,stride,32,16,6,False,False,0,flatten,0.14642045193240402,tdbn,0.9282251740251743,adam,0.002058358935591006,2.9791904656460163e-05,step,0.13489957471917216,1.0
4cd14d3a,deployed,0.7784090909090909,0.7784090909090909,0.7102272727272727,-0.06818181818181823,True,0.0,0.050000011920928955,,0,False,8888169.319444444,,,,2,32,5,2,stride,32,16,4,False,False,0,flatten,0.1385501786218513,tdbn,0.9282831387049688,adamw,0.003725380592984945,0.004088761751074126,step,0.011332747762153247,1.0
30d5dd28,pruned_before_deploy,,,0.7329545454545454,,,,,,24,False,,,,,4,64,5,2,stride,64,8,32,True,False,0,flatten,0.39869597651651933,tdbn,1.052242084978138,adamw,0.0017191128515041296,0.0005945464338772388,none,0.030959529331102742,0.0
2b3704e8,deployed,0.8181818181818182,0.8181818181818182,0.6818181818181818,-0.13636363636363646,True,0.0,0.19964253902435303,,0,False,11365283.6171875,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.1334548118266452,tdbn,0.8796869048528131,adam,0.0020670921060404537,3.217293246039056e-05,onecycle,0.13617047182794367,1.0
11db5157,pruned_before_deploy,,,0.7215909090909091,,,,,,24,False,,,,,4,64,7,2,stride,64,8,32,True,False,0,flatten,0.40895132293445313,tdbn,1.074607405709488,adamw,0.0005869781818399436,0.00038247076243110554,none,0.02729620071532428,0.0
4e620900,deployed,0.8011363636363636,0.8011363636363636,0.7329545454545454,-0.06818181818181823,True,0.0,0.050000011920928955,,0,False,8944666.088541668,,,,2,32,5,2,stride,32,16,4,False,False,0,flatten,0.13590135214353827,tdbn,0.9013829358737849,adam,0.00376006316592902,2.7984661532462027e-05,step,0.13343077688765853,1.0
0b25209d,deployed,0.8181818181818182,0.8181818181818182,0.7215909090909091,-0.09659090909090917,True,0.0,0.050000011920928955,,0,False,10468989.960069444,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.24864251681664726,tdbn,0.9007681998599121,adam,0.0021781331008966943,2.803939789246051e-05,step,0.1363424409484873,1.0
c54a2591,deployed,0.8125,0.8125,0.6761363636363636,-0.13636363636363635,True,0.0,0.14696383476257324,,0,False,10936324.5234375,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.18612860957093447,tdbn,0.8813321396786059,adam,0.0021436583167797774,2.9779550467049388e-05,onecycle,0.1308840233446305,1.0
fc903610,deployed,0.8125,0.8125,0.7386363636363636,-0.07386363636363635,True,0.0,0.050000011920928955,,0,False,10892641.598090278,,,,2,32,5,2,stride,32,16,2,False,False,0,flatten,0.1361694962451699,tdbn,0.9202974383417307,adam,0.00206047685788032,3.1046545674851943e-05,step,0.1327786454455454,1.0
d32b905f,deployed,0.8068181818181818,0.8068181818181818,0.7215909090909091,-0.08522727272727271,True,0.0,0.18488532304763794,,0,False,10690647.359375,,,,2,32,5,2,stride,32,8,2,False,False,0,flatten,0.13591146097960383,tdbn,0.8815945210532325,adam,0.0020112563305059203,3.5758234656783464e-05,step,0.03803306555009198,1.0
